City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,san antonio de pale,-1.4014,5.6325,26.37,80,33,6.02,GQ,1699383277
82,stanley,54.868,-1.6985,7.62,90,6,4.1,GB,1699383277
83,pisco,-13.7,-76.2167,23.03,68,0,4.63,PE,1699383276
84,chinde,26.8418,88.0763,12.11,75,0,2.14,NP,1699383277
85,nemuro,43.3236,145.575,9.47,74,1,9.13,JP,1699383278
86,rocha,-34.4833,-54.3333,27.51,60,5,6.26,UY,1699383026
87,boyolangu,-8.1181,111.8935,24.26,90,100,0.72,ID,1699383278
88,arraial do cabo,-22.9661,-42.0278,25.98,53,0,5.66,BR,1699383278
89,porsgrunn,59.1405,9.6561,2.53,93,85,1.74,NO,1699383279
90,chilecito,-29.1619,-67.4974,39.77,5,0,10.76,AR,1699383075
91,papatowai,-46.5619,169.4708,8.52,87,100,2.24,NZ,1699383279
92,hauterive,46.0901,3.4459,7.77,79,80,1.76,FR,1699383279
93,colonia,50.9333,6.95,9.98,77,100,3.6,DE,1699382997
94,rio grande,-32.035,-52.0986,28.06,70,0,8.14,BR,1699383280
95,emerald,-23.5333,148.1667,17.41,81,0,3.8,AU,1699383280
96,san patricio,28.017,-97.5169,30.4,39,88,5.57,US,1699383281
97,porteirinha,-15.7433,-43.0283,32.72,29,4,4.2,BR,1699383281
98,isla vista,34.4133,-119.861,22.94,51,0,3.6,US,1699383281
99,puerto natales,-51.7236,-72.4875,10.25,53,75,10.29,CL,1699383281
100,dawei,14.0833,98.2,25.73,89,100,1.34,MM,1699383281
101,bethel,41.3712,-73.414,18.76,68,0,3.09,US,1699383281
102,ust-nera,64.5667,143.2,-27.26,99,99,0.13,RU,1699383282
103,isafjordur,66.0755,-23.124,1.02,75,20,1.54,IS,1699383282
104,tazovsky,67.4667,78.7,-4.48,96,100,6.33,RU,1699383282
105,castillos,-34.1667,-53.8333,24.21,68,9,5.54,UY,1699383278
106,tongchuanshi,35.0806,109.0897,9.12,40,4,2.51,CN,1699383282
107,shakawe,-18.3667,21.85,26.9,49,85,2.2,BW,1699383266
108,lihue,21.9789,-159.3672,26.31,80,75,7.72,US,1699383018
109,guerrero negro,27.9769,-114.0611,23.5,58,0,7.13,MX,1699383283
110,bilibino,68.0546,166.4372,-19.47,97,100,0.44,RU,1699383283
111,liberal,37.0431,-100.921,27.58,14,0,3.09,US,1699383283
112,harper,4.375,-7.7169,26.26,86,23,3.67,LR,1699383283
113,lorengau,-2.0226,147.2712,27.4,85,98,5.11,PG,1699383283
114,twin falls,42.3505,-114.6445,4.96,81,100,7.2,US,1699383082
115,portland,45.5234,-122.6762,13.24,90,40,4.12,US,1699383224
116,kismayo,-0.3582,42.5454,25.64,89,100,2.22,SO,1699383283
117,dudinka,69.4058,86.1778,-10.18,92,100,12.96,RU,1699383284
118,laguna,38.421,-121.4238,18.34,81,20,2.06,US,1699383284
119,ancud,-41.8697,-73.8203,11.46,71,98,6.15,CL,1699383284
